Dissimilarity,9.51 ± 3.29,2.71 ± 1.56,1.66 ± 1.03,1.48 ± 0.78
Sparsity,0.79 ± 0.07,0.76 ± 0.16,0.87 ± 0.11,0.90 ± 0.12
Plausibility,-2.28 ± 0.54,-1.22 ± 0.14,-1.15 ± 0.09,-1.15 ± 0.07
Validity,0.47 ± 0.50,0.30 ± 0.46,0.06 ± 0.24,0.02 ± 0.14
Diversity,1.09 ± 0.38,0.73 ± 0.51,0.69 ± 0.51,0.54 ± 0.53
Runtime,146.1 ± 214.1,21.0 ± 8.1,15.8 ± 4.9,9.5 ± 5.6
%Explained,0.70,0.83,0.68,0.22
#Valid,4.5 ± 3.7,52.7 ± 128.4,178.4 ± 652.3,53.7 ± 241.7
