Dissimilarity,4.53,4.81,5.26,5.99,6.76,7.32
Sparsity,0.44,0.45,0.40,0.33,0.26,0.22
Plausibility,-1.03,-1.02,-1.01,-1.00,-0.98,-0.98
Validity,1.00,1.00,1.00,1.00,1.00,1.00
Runtime,0.23,0.23,0.22,0.27,0.29,0.21
%Explained,1.00,1.00,1.00,1.00,1.00,1.00
