Dissimilarity,4.24 ± 2.10,5.12 ± 2.22
Sparsity,0.33 ± 0.01,0.65 ± 0.16
Plausibility,-1.44 ± 0.36,-1.22 ± 0.21
Validity,1.00 ± 0.00,0.89 ± 0.31
Diversity,0.00 ± 0.00,0.35 ± 0.32
#Valid,20.00 ± 0.00,17.87 ± 4.37
%Explained, 1.00, 0.99
