,CFAE,CFDE
Dissimilarity,5.12 ± 2.22,4.24 ± 2.10
Sparsity,0.65 ± 0.16,0.33 ± 0.01
Plausibility,-1.22 ± 0.21,-1.44 ± 0.36
Validity,0.89 ± 0.22,1.00 ± 0.00
Diversity,0.35 ± 0.31,0.00 ± 0.00
Invalidation,0.00 ± 0.05,0.00 ± 0.00
#Valid CFs,17.87 ± 4.37,20.00 ± 0.00
