,TGCF DTC,TGCF DTC',TGCF DTC Fidelity,TGCF DTC Fidelity',TGCF IMM,TGCF IMM'
Dissimilarity,1.54 ± 0.43,1.78 ± 0.50,1.69 ± 0.47,1.94 ± 0.49,1.01 ± 0.21,1.79 ± 0.45
Sparsity,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.50 ± 0.00,0.39 ± 0.21
Plausibility,-1.75 ± 0.52,-1.43 ± 0.59,-1.66 ± 0.39,-1.18 ± 0.46,-2.05 ± 0.44,-1.68 ± 0.73
Validity,0.40 ± 0.49,0.60 ± 0.49,0.81 ± 0.39,0.97 ± 0.17,0.16 ± 0.37,0.88 ± 0.32
Diversity,1.06 ± 0.05,1.07 ± 0.03,0.96 ± 0.20,0.84 ± 0.23,1.07 ± 0.01,1.07 ± 0.01
Runtime,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
%Explained,0.52,0.77,1.00,1.00,0.16,0.88
#Valid,0.53 ± 0.52,0.79 ± 0.45,1.36 ± 0.48,1.62 ± 0.49,0.16 ± 0.37,0.88 ± 0.32
