,TGCF DTC,TGCF DTC',TGCF DTC Fidelity,TGCF DTC Fidelity',TGCF IMM,TGCF IMM'
Dissimilarity,0.81 ± 0.33,1.30 ± 0.42,4.61 ± 2.20,6.01 ± 2.54,0.55 ± 0.00,0.92 ± 0.18
Sparsity,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.97 ± 0.00,0.97 ± 0.00
Plausibility,-1.12 ± 0.05,-1.13 ± 0.06,-1.15 ± 0.10,-1.12 ± 0.13,-1.05 ± 0.00,-1.11 ± 0.04
Validity,0.02 ± 0.14,0.05 ± 0.22,0.38 ± 0.48,0.50 ± 0.50,0.01 ± 0.10,0.03 ± 0.17
Diversity,0.74 ± 0.30,0.70 ± 0.37,0.10 ± 0.32,0.06 ± 0.23,1.10 ± 0.00,1.08 ± 0.02
Runtime,0.00 ± 0.00,0.00 ± 0.00,0.05 ± 0.04,0.06 ± 0.05,0.00 ± 0.00,0.00 ± 0.00
%Explained,0.05,0.09,0.46,0.46,0.01,0.03
#Valid,0.13 ± 0.64,0.35 ± 1.35,11.77 ± 14.37,15.56 ± 17.81,0.01 ± 0.10,0.03 ± 0.17
