Dissimilarity,4.20 ± 1.24,3.24 ± 1.09,3.00 ± 1.23,3.36 ± 1.49
Sparsity,0.78 ± 0.09,0.67 ± 0.16,0.68 ± 0.16,0.68 ± 0.18
Plausibility,-1.43 ± 0.28,-1.20 ± 0.14,-1.16 ± 0.14,-1.16 ± 0.12
Validity,0.47 ± 0.50,0.31 ± 0.46,0.14 ± 0.35,0.09 ± 0.29
Diversity,0.76 ± 0.37,0.08 ± 0.21,0.05 ± 0.14,0.05 ± 0.17
Runtime,44.28 ± 74.20,11.15 ± 4.10,12.72 ± 4.38,10.50 ± 3.43
%Explained,0.89,1.00,1.00,0.99
#Valid,4.8 ± 3.0,97.4 ± 100.7,194.9 ± 303.9,142.5 ± 190.8
