Dissimilarity,1.38 ± 0.43,1.17 ± 0.38,1.67 ± 0.47,1.94 ± 0.49
Sparsity,0.23 ± 0.25,0.14 ± 0.23,0.33 ± 0.24,0.00 ± 0.00
Plausibility,-1.82 ± 0.50,-2.12 ± 0.47,-1.67 ± 0.69,-1.18 ± 0.46
Validity,1.00 ± 0.00,1.00 ± 0.02,1.00 ± 0.00,0.97 ± 0.17
Diversity,N/A,0.00 ± 0.00,0.00 ± 0.00,0.84 ± 0.23
Runtime,0.78 ± 0.32,0.00 ± 0.00,0.01 ± 0.00,0.00 ± 0.00
%Explained,1.00,1.00,1.00,1.00
#Valid,1.00 ± 0.00,19.99 ± 0.10,15.00 ± 0.00,1.62 ± 0.49
