Dissimilarity,2.69 ± 1.03,1.47 ± 0.77,1.57 ± 0.73,1.84 ± 0.92
Sparsity,0.55 ± 0.11,0.57 ± 0.18,0.50 ± 0.16,0.48 ± 0.17
Plausibility,-1.81 ± 0.77,-1.06 ± 0.14,-1.04 ± 0.12,-1.06 ± 0.13
Validity,0.58 ± 0.49,0.55 ± 0.50,0.42 ± 0.49,0.43 ± 0.49
Diversity,0.32 ± 0.41,0.15 ± 0.31,0.09 ± 0.24,0.02 ± 0.10
Runtime,38.97 ± 64.45,6.45 ± 2.54,7.19 ± 2.50,13.55 ± 9.79
%Explained,0.96,0.74,0.81,0.80
#Valid,5.84 ± 3.35,31.36 ± 44.70,77.50 ± 111.49,81.78 ± 82.75
