,GradCF (eps=1),Baycon - KMeans,GradCF (eps=0.5) (sparsity fixed),TGCF_IMM',GradCF (eps=0.5),NeighborSearch,Baseline (BayCon),TGCF_DTC',GradCF (eps=1) (sparsity fixed),TGCF_DTC_Fidelity,GradCF (eps=0.1),TGCF_IMM,CFDE,GradCF (eps=0),GradCF (eps=0.25),GradCF (eps=0.1) (sparsity fixed),CFAE,TGCF_DTC,Baseline (DiCE),GradCF (eps=0.75),GradCF (eps=0) (sparsity fixed),GradCF (eps=0.75) (sparsity fixed),Baycon - Model Agnostic,GradCF (eps=0.25) (sparsity fixed),TGCF_DTC_Fidelity',dice_mod_random
Dissimilarity,7.38 ± 1.89,1.48 ± 0.78,5.99 ± 1.94,0.55 ± 0.00,6.07 ± 1.90,4.86 ± 1.81,2.71 ± 1.56,1.30 ± 0.42,7.32 ± 1.92,4.61 ± 2.20,4.92 ± 1.91,0.55 ± 0.00,4.24 ± 2.10,4.62 ± 1.91,5.36 ± 1.92,4.81 ± 2.00,5.12 ± 2.22,0.81 ± 0.33,9.51 ± 3.29,6.81 ± 1.94,4.53 ± 1.96,6.76 ± 1.97,1.66 ± 1.03,5.26 ± 1.99,6.01 ± 2.54,4.86 ± 1.27
Sparsity,0.00 ± 0.00,0.90 ± 0.12,0.33 ± 0.15,0.97 ± 0.00,0.00 ± 0.00,0.53 ± 0.20,0.76 ± 0.16,0.00 ± 0.00,0.22 ± 0.11,0.00 ± 0.00,0.00 ± 0.00,0.97 ± 0.00,0.33 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.45 ± 0.18,0.65 ± 0.16,0.00 ± 0.00,0.79 ± 0.07,0.00 ± 0.00,0.44 ± 0.20,0.26 ± 0.13,0.87 ± 0.11,0.40 ± 0.18,0.00 ± 0.00,0.00 ± 0.00
Plausibility,-0.98 ± 0.00,-1.15 ± 0.07,-1.00 ± 0.03,-1.05 ± 0.00,-0.98 ± 0.01,-1.13 ± 0.14,-1.22 ± 0.14,-1.13 ± 0.06,-0.98 ± 0.01,-1.15 ± 0.10,-1.00 ± 0.02,-1.05 ± 0.00,-1.44 ± 0.36,-1.01 ± 0.02,-1.00 ± 0.02,-1.02 ± 0.04,-1.22 ± 0.21,-1.12 ± 0.05,-2.28 ± 0.54,-0.97 ± 0.00,-1.03 ± 0.04,-0.98 ± 0.01,-1.15 ± 0.09,-1.01 ± 0.03,-1.12 ± 0.13,-1.08 ± 0.10
Validity,1.00 ± 0.00,0.02 ± 0.14,1.00 ± 0.00,0.01 ± 0.10,1.00 ± 0.00,1.00 ± 0.00,0.30 ± 0.46,0.05 ± 0.22,1.00 ± 0.00,0.38 ± 0.48,1.00 ± 0.00,0.01 ± 0.10,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.89 ± 0.31,0.02 ± 0.14,0.47 ± 0.50,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.06 ± 0.24,1.00 ± 0.00,0.50 ± 0.50,0.89 ± 0.31
Diversity,N/A,0.54 ± 0.53,N/A,1.07 ± 0.00,N/A,0.40 ± 0.17,0.73 ± 0.51,0.70 ± 0.38,N/A,0.10 ± 0.31,N/A,1.10 ± 0.00,0.00 ± 0.00,N/A,N/A,N/A,0.35 ± 0.32,0.73 ± 0.30,1.09 ± 0.38,N/A,N/A,N/A,0.68 ± 0.51,N/A,0.06 ± 0.23,0.61 ± 0.19
Runtime,0.53 ± 0.13,9.51 ± 5.58,0.67 ± 0.36,0.00 ± 0.00,0.67 ± 0.36,0.21 ± 0.06,21.03 ± 8.06,0.00 ± 0.00,0.53 ± 0.13,0.04 ± 0.04,0.59 ± 0.32,0.00 ± 0.00,0.02 ± 0.02,0.59 ± 0.34,0.58 ± 0.29,0.60 ± 0.32,0.08 ± 0.04,0.00 ± 0.00,146.06 ± 214.14,0.75 ± 0.32,0.60 ± 0.34,0.75 ± 0.32,15.77 ± 4.96,0.59 ± 0.29,0.05 ± 0.04,0.51 ± 0.09
%Explained,1.00,0.22,1.00,0.01,1.00,1.00,0.83,0.09,1.00,0.46,1.00,0.01,1.00,1.00,1.00,1.00,0.99,0.05,0.70,1.00,1.00,1.00,0.68,1.00,0.46,0.97
#Valid,1.00 ± 0.00,53.77 ± 241.71,1.00 ± 0.00,0.01 ± 0.10,1.00 ± 0.00,15.00 ± 0.00,52.74 ± 128.40,0.35 ± 1.35,1.00 ± 0.00,11.77 ± 14.37,1.00 ± 0.00,0.01 ± 0.10,20.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,17.87 ± 4.37,0.13 ± 0.64,4.57 ± 3.79,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,178.43 ± 652.37,1.00 ± 0.00,15.56 ± 17.81,8.94 ± 2.29
