Dissimilarity,2.26 ± 0.64,1.89 ± 0.52,1.80 ± 0.59,1.85 ± 0.56
Sparsity,0.20 ± 0.25,0.50 ± 0.00,0.50 ± 0.00,0.50 ± 0.00
Plausibility,-1.84 ± 0.79,-1.24 ± 0.17,-1.28 ± 0.21,-1.24 ± 0.18
Validity,0.88 ± 0.33,0.86 ± 0.35,0.22 ± 0.41,0.81 ± 0.39
Diversity,0.04 ± 0.11,0.10 ± 0.31,0.03 ± 0.17,0.04 ± 0.18
Runtime,22.91 ± 43.37,5.69 ± 1.92,3.46 ± 1.27,3.80 ± 0.89
%Explained,1.00,0.34,0.41,0.36
#Valid,8.78 ± 1.71,10.97 ± 17.39,11.74 ± 16.96,10.88 ± 16.86
