Dissimilarity,2.08 ± 0.92,1.56 ± 0.75,2.38 ± 0.97,2.59 ± 0.86
Sparsity,0.30 ± 0.26,0.21 ± 0.23,0.45 ± 0.25,0.00 ± 0.00
Plausibility,-1.14 ± 0.23,-1.39 ± 0.46,-1.28 ± 0.48,-1.30 ± 0.49
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.73 ± 0.44
Diversity,N/A,0.00 ± 0.00,0.00 ± 0.00,0.96 ± 0.20
Runtime,0.80 ± 0.32,0.01 ± 0.00,0.03 ± 0.01,0.00 ± 0.00
%Explained,1.00,1.00,1.00,1.00
#Valid,1.00 ± 0.00,20.00 ± 0.00,15.00 ± 0.00,1.71 ± 0.78
