Dissimilarity,4.53 ± 1.96,5.12 ± 2.22,4.86 ± 1.81,6.01 ± 2.54
Sparsity,0.44 ± 0.20,0.65 ± 0.16,0.53 ± 0.20,0.00 ± 0.00
Plausibility,-1.03 ± 0.04,-1.22 ± 0.21,-1.13 ± 0.14,-1.12 ± 0.13
Validity,1.00 ± 0.00,0.89 ± 0.31,1.00 ± 0.00,0.50 ± 0.50
Diversity,N/A,0.35 ± 0.31,0.39 ± 0.17,0.06 ± 0.23
Runtime,0.60 ± 0.34,0.08 ± 0.04,0.21 ± 0.06,0.05 ± 0.04
%Explained,1.00,0.99,1.00,0.46
#Valid,1.00 ± 0.00,17.87 ± 4.37,15.00 ± 0.00,15.56 ± 17.81
