Dissimilarity,3.20 ± 0.90,2.89 ± 0.90,3.76 ± 0.94,3.53 ± 1.01
Sparsity,0.49 ± 0.18,0.48 ± 0.14,0.68 ± 0.14,0.00 ± 0.00
Plausibility,-1.01 ± 0.02,-1.09 ± 0.07,-1.17 ± 0.13,-1.06 ± 0.09
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.65 ± 0.48
Diversity,N/A,0.00 ± 0.00,0.12 ± 0.11,0.11 ± 0.29
Runtime,0.65 ± 0.30,0.02 ± 0.01,0.04 ± 0.01,0.02 ± 0.01
%Explained,1.00,1.00,1.00,0.97
#Valid,1.00 ± 0.00,20.00 ± 0.00,15.00 ± 0.00,14.42 ± 6.68
