,cfde1,cfde2,cfde3,cfde4,cfae1,cfae2,cfae3,cfae4
Dissimilarity,1.84 ± 0.86,1.61 ± 0.49,4.26 ± 2.05,2.94 ± 0.96,1.56 ± 0.75,1.17 ± 0.38,5.12 ± 2.22,2.89 ± 0.90
Sparsity,0.46 ± 0.09,0.43 ± 0.17,0.55 ± 0.16,0.53 ± 0.14,0.21 ± 0.23,0.14 ± 0.23,0.65 ± 0.16,0.48 ± 0.14
Plausibility,-1.79 ± 0.83,-1.91 ± 0.77,-1.46 ± 0.35,-1.31 ± 0.18,-1.39 ± 0.46,-2.12 ± 0.47,-1.22 ± 0.21,-1.09 ± 0.07
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.02,0.89 ± 0.31,1.00 ± 0.00
Diversity,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.10 ± 0.16,0.00 ± 0.00
Runtime,0.03 ± 0.02,0.03 ± 0.01,0.02 ± 0.01,0.01 ± 0.00,0.01 ± 0.00,0.00 ± 0.00,0.08 ± 0.04,0.02 ± 0.01
%Explained,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00
#Valid,20.00 ± 0.00,20.00 ± 0.00,20.00 ± 0.00,20.00 ± 0.00,20.00 ± 0.00,19.99 ± 0.10,17.87 ± 4.37,20.00 ± 0.00
