,CFDE,CFAE,NeighborSearch
Dissimilarity,1.61 ± 0.49,1.17 ± 0.38,1.67 ± 0.47
Sparsity,0.43 ± 0.17,0.14 ± 0.23,0.33 ± 0.24
Plausibility,-1.91 ± 0.77,-2.12 ± 0.47,-1.67 ± 0.69
Validity,1.00 ± 0.00,1.00 ± 0.02,1.00 ± 0.00
Diversity,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
Runtime,0.03 ± 0.01,0.00 ± 0.00,0.01 ± 0.00
%Explained,1.00,1.00,1.00
#Valid,20.00 ± 0.00,19.99 ± 0.10,15.00 ± 0.00
