,Baseline (BayCon),Baseline (DiCE),Baycon - KMeans,Baycon - Model Agnostic,CFAE,GradCF (eps=0) (sparsity fixed),NeighborSearch,TGCF_DTC_Fidelity'
Similarity,1.47 ± 0.77,2.69 ± 1.03,1.84 ± 0.92,1.57 ± 0.73,1.56 ± 0.75,2.08 ± 0.92,2.38 ± 0.97,2.59 ± 0.86
Sparsity,0.57 ± 0.18,0.55 ± 0.11,0.48 ± 0.17,0.50 ± 0.16,0.21 ± 0.23,0.30 ± 0.26,0.45 ± 0.25,0.00 ± 0.00
Plausibility,-1.06 ± 0.14,-1.81 ± 0.77,-1.06 ± 0.13,-1.04 ± 0.12,-1.39 ± 0.46,-1.14 ± 0.23,-1.28 ± 0.48,-1.30 ± 0.49
Validity,0.55 ± 0.50,0.58 ± 0.49,0.43 ± 0.49,0.42 ± 0.49,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.73 ± 0.44
Diversity,0.07 ± 0.18,0.13 ± 0.23,0.01 ± 0.07,0.04 ± 0.13,0.00 ± 0.00,N/A,0.00 ± 0.00,0.68 ± 0.22
Runtime,6.45 ± 2.54,38.97 ± 64.45,13.55 ± 9.79,7.19 ± 2.50,0.01 ± 0.00,0.80 ± 0.32,0.03 ± 0.01,0.00 ± 0.00
%Explained,0.74,0.96,0.80,0.81,1.00,1.00,1.00,1.00
#Valid,31.36 ± 44.70,5.84 ± 3.35,81.78 ± 82.75,77.50 ± 111.49,20.00 ± 0.00,1.00 ± 0.00,15.00 ± 0.00,1.71 ± 0.78
