,Baseline (BayCon),Baseline (DiCE),Baycon - KMeans,Baycon - Model Agnostic,CFAE,GradCF (eps=0) (sparsity fixed),NeighborSearch,TGCF_DTC_Fidelity'
Similarity,3.24 ± 1.09,4.20 ± 1.24,3.36 ± 1.49,3.00 ± 1.23,2.89 ± 0.90,3.20 ± 0.90,3.76 ± 0.94,3.53 ± 1.01
Sparsity,0.67 ± 0.16,0.78 ± 0.09,0.68 ± 0.18,0.68 ± 0.16,0.48 ± 0.14,0.49 ± 0.18,0.68 ± 0.14,0.00 ± 0.00
Plausibility,-1.20 ± 0.14,-1.43 ± 0.28,-1.16 ± 0.12,-1.16 ± 0.14,-1.09 ± 0.07,-1.01 ± 0.02,-1.17 ± 0.13,-1.06 ± 0.09
Validity,0.31 ± 0.46,0.47 ± 0.50,0.09 ± 0.29,0.14 ± 0.35,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.65 ± 0.48
Diversity,0.03 ± 0.10,0.47 ± 0.30,0.02 ± 0.09,0.01 ± 0.05,0.00 ± 0.00,N/A,0.03 ± 0.03,0.02 ± 0.06
Runtime,11.15 ± 4.10,44.28 ± 74.20,10.50 ± 3.43,12.72 ± 4.38,0.02 ± 0.01,0.65 ± 0.30,0.04 ± 0.01,0.02 ± 0.01
%Explained,1.00,0.89,0.99,1.00,1.00,1.00,1.00,0.97
#Valid,97.39 ± 100.73,4.75 ± 3.07,142.54 ± 190.81,194.87 ± 303.93,20.00 ± 0.00,1.00 ± 0.00,15.00 ± 0.00,14.42 ± 6.68
