,GradCF (eps=0) (sparsity fixed),CFAE,NeighborSearch,TGCF_DTC_Fidelity',CFDE
Dissimilarity,4.53 ± 1.96,5.09 ± 2.26,4.94 ± 1.81,6.00 ± 2.55,4.26 ± 2.05
Sparsity,0.44 ± 0.20,0.65 ± 0.16,0.50 ± 0.21,0.53 ± 0.14,0.55 ± 0.16
Plausibility,-1.03 ± 0.04,-1.23 ± 0.21,-1.12 ± 0.14,-1.12 ± 0.13,-1.46 ± 0.35
Validity,1.00 ± 0.00,0.87 ± 0.33,1.00 ± 0.00,0.50 ± 0.50,1.00 ± 0.00
Diversity,N/A,0.37 ± 0.22,0.11 ± 0.05,0.03 ± 0.12,0.00 ± 0.00
Runtime,0.60 ± 0.34,0.14 ± 0.09,0.20 ± 0.08,0.31 ± 0.05,0.02 ± 0.01
%Explained,1.00,0.99,1.00,0.46,1.00
#Valid,1.00 ± 0.00,8.73 ± 2.32,15.00 ± 0.00,15.56 ± 17.81,10.00 ± 0.00
