,CFDE,CFAE
Dissimilarity,4.26 ± 2.05,5.12 ± 2.22
Sparsity,0.55 ± 0.16,0.65 ± 0.16
Plausibility,-1.46 ± 0.35,-1.22 ± 0.21
Validity,1.00 ± 0.00,0.89 ± 0.31
Diversity,0.00 ± 0.00,0.10 ± 0.16
Runtime,0.02 ± 0.01,0.08 ± 0.04
%Explained,1.00,0.99
#Valid,20.00 ± 0.00,17.87 ± 4.37
