,TGCF_DTC_Fidelity'
Dissimilarity,1.89 ± 0.52
Sparsity,0.30 ± 0.25
Plausibility,-1.39 ± 0.52
Validity,0.97 ± 0.17
Diversity,0.41 ± 0.31
Runtime,0.00 ± 0.00
%Explained,1.00
#Valid,1.62 ± 0.49
