,TGCF_DTC_Fidelity'
Dissimilarity,6.69 ± 2.68
Sparsity,0.00 ± 0.00
Plausibility,-1.17 ± 0.17
Validity,0.51 ± 0.50
Diversity,0.05 ± 0.18
Invalidation,0.00
Correction,0.00
Runtime,0.06 ± 0.05
%Explained,0.46
#Valid,15.81 ± 18.06
