,GradCF (eps=0) (sparsity fixed),CFAE,NeighborSearch,TGCF_DTC_Fidelity',CFDE
Dissimilarity,2.08 ± 0.92,1.56 ± 0.75,2.40 ± 0.97,2.59 ± 0.86,1.84 ± 0.86
Sparsity,0.30 ± 0.26,0.21 ± 0.23,0.43 ± 0.25,0.00 ± 0.00,0.46 ± 0.09
Plausibility,-1.14 ± 0.23,-1.39 ± 0.46,-1.26 ± 0.47,-1.30 ± 0.49,-1.79 ± 0.83
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.73 ± 0.44,1.00 ± 0.00
Diversity,N/A,0.00 ± 0.00,0.00 ± 0.00,0.68 ± 0.22,0.00 ± 0.00
Runtime,0.80 ± 0.32,0.01 ± 0.00,0.02 ± 0.01,0.00 ± 0.00,0.03 ± 0.02
%Explained,1.00,1.00,1.00,1.00,1.00
#Valid,1.00 ± 0.00,20.00 ± 0.00,15.00 ± 0.00,1.71 ± 0.78,20.00 ± 0.00
