,GradCF (eps=0) (sparsity fixed),CFAE,NeighborSearch,TGCF_DTC_Fidelity',CFDE
Dissimilarity,3.20 ± 0.90,2.89 ± 0.90,3.84 ± 0.94,3.53 ± 1.01,2.94 ± 0.96
Sparsity,0.49 ± 0.18,0.48 ± 0.14,0.66 ± 0.16,0.00 ± 0.00,0.53 ± 0.14
Plausibility,-1.01 ± 0.02,-1.09 ± 0.07,-1.17 ± 0.12,-1.06 ± 0.09,-1.31 ± 0.18
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.65 ± 0.48,1.00 ± 0.00
Diversity,N/A,0.00 ± 0.00,0.04 ± 0.03,0.02 ± 0.06,0.00 ± 0.00
Runtime,0.65 ± 0.30,0.02 ± 0.01,0.05 ± 0.02,0.02 ± 0.01,0.01 ± 0.00
%Explained,1.00,1.00,1.00,0.97,1.00
#Valid,1.00 ± 0.00,20.00 ± 0.00,15.00 ± 0.00,14.42 ± 6.68,20.00 ± 0.00
