,GradCF (eps=0) (sparsity fixed),CFAE,NeighborSearch,TGCF_DTC_Fidelity',CFDE
Dissimilarity,1.38 ± 0.43,1.17 ± 0.38,1.68 ± 0.47,1.94 ± 0.49,1.61 ± 0.49
Sparsity,0.23 ± 0.25,0.14 ± 0.23,0.33 ± 0.24,0.00 ± 0.00,0.43 ± 0.17
Plausibility,-1.82 ± 0.50,-2.12 ± 0.47,-1.66 ± 0.69,-1.18 ± 0.46,-1.91 ± 0.77
Validity,1.00 ± 0.00,1.00 ± 0.02,1.00 ± 0.00,0.97 ± 0.17,1.00 ± 0.00
Diversity,N/A,0.00 ± 0.00,0.00 ± 0.00,0.53 ± 0.17,0.00 ± 0.00
Runtime,0.78 ± 0.32,0.00 ± 0.00,0.02 ± 0.01,0.00 ± 0.00,0.03 ± 0.01
%Explained,1.00,1.00,1.00,1.00,1.00
#Valid,1.00 ± 0.00,19.99 ± 0.10,15.00 ± 0.00,1.62 ± 0.49,20.00 ± 0.00
