,TGCF_DTC_Fidelity'
Dissimilarity,5.04 ± 2.34
Sparsity,0.00 ± 0.00
Plausibility,-1.11 ± 0.09
Validity,0.44 ± 0.50
Diversity,0.04 ± 0.16
Invalidation,0.00
Correction,0.00
Runtime,0.06 ± 0.05
%Explained,0.46
#Valid,13.84 ± 16.15
