,Baseline (BayCon),Baseline (DiCE),Baycon - KMeans,Baycon - Model Agnostic
Similarity,2.71 ± 1.56,9.51 ± 3.29,1.48 ± 0.78,1.66 ± 1.03
Sparsity,0.76 ± 0.16,0.79 ± 0.07,0.90 ± 0.12,0.87 ± 0.11
Plausibility,-1.22 ± 0.14,-2.28 ± 0.54,-1.15 ± 0.07,-1.15 ± 0.09
Validity,0.30 ± 0.46,0.47 ± 0.50,0.02 ± 0.14,0.06 ± 0.24
Diversity,0.42 ± 0.42,0.62 ± 0.28,0.26 ± 0.37,0.36 ± 0.41
Runtime,21.03 ± 8.06,146.06 ± 214.14,9.51 ± 5.58,15.77 ± 4.96
%Explained,0.83,0.70,0.22,0.68
#Valid,52.74 ± 128.40,4.57 ± 3.79,53.77 ± 241.71,178.43 ± 652.37
