,GradCF (eps=0.25) (sparsity fixed),GradCF (eps=0) (sparsity fixed),dice_mod_random,GradCF (eps=1),GradCF (eps=1) (sparsity fixed),CFAE,TGCF_IMM',GradCF (eps=0),GradCF (eps=0.5),TGCF_DTC_Fidelity',GradCF (eps=0.25),GradCF (eps=0.1),NeighborSearch,Baycon - Model Agnostic,GradCF (eps=0.5) (sparsity fixed),CFDE,GradCF (eps=0.75) (sparsity fixed),TGCF_DTC',Baycon - KMeans,GradCF (eps=0.1) (sparsity fixed),TGCF_DTC,Baseline (DiCE),TGCF_IMM,Baseline (BayCon),TGCF_DTC_Fidelity,GradCF (eps=0.75)
Dissimilarity,3.60 ± 0.92,3.20 ± 0.90,3.46 ± 0.90,4.80 ± 0.89,4.72 ± 0.94,2.91 ± 0.91,0.60 ± 0.13,3.30 ± 0.87,4.11 ± 0.88,3.53 ± 1.01,3.71 ± 0.87,3.46 ± 0.87,3.76 ± 0.92,3.00 ± 1.23,4.01 ± 0.92,2.94 ± 0.96,4.42 ± 0.94,1.81 ± 0.47,3.36 ± 1.49,3.35 ± 0.91,1.43 ± 0.74,4.20 ± 1.24,0.60 ± 0.13,3.24 ± 1.09,3.12 ± 1.02,4.52 ± 0.88
Sparsity,0.48 ± 0.17,0.49 ± 0.18,0.00 ± 0.00,0.00 ± 0.00,0.32 ± 0.15,0.48 ± 0.14,0.92 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.65 ± 0.16,0.68 ± 0.16,0.43 ± 0.16,0.53 ± 0.14,0.37 ± 0.17,0.00 ± 0.00,0.68 ± 0.18,0.51 ± 0.16,0.00 ± 0.00,0.78 ± 0.09,0.92 ± 0.00,0.67 ± 0.16,0.00 ± 0.00,0.00 ± 0.00
Plausibility,-0.99 ± 0.01,-1.01 ± 0.02,-0.99 ± 0.01,-0.96 ± 0.00,-0.96 ± 0.01,-1.08 ± 0.07,-1.18 ± 0.09,-0.99 ± 0.01,-0.96 ± 0.00,-1.06 ± 0.09,-0.97 ± 0.01,-0.98 ± 0.01,-1.16 ± 0.12,-1.16 ± 0.14,-0.98 ± 0.01,-1.31 ± 0.18,-0.97 ± 0.01,-1.08 ± 0.09,-1.16 ± 0.12,-1.00 ± 0.02,-1.10 ± 0.11,-1.43 ± 0.28,-1.18 ± 0.09,-1.20 ± 0.14,-1.17 ± 0.11,-0.96 ± 0.00
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.05,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.02 ± 0.14,1.00 ± 0.00,1.00 ± 0.00,0.65 ± 0.48,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.14 ± 0.35,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.08 ± 0.27,0.09 ± 0.29,1.00 ± 0.00,0.03 ± 0.16,0.47 ± 0.50,0.02 ± 0.14,0.31 ± 0.46,0.22 ± 0.41,1.00 ± 0.00
Diversity,N/A,N/A,0.02 ± 0.01,N/A,N/A,0.03 ± 0.02,N/A,N/A,N/A,0.02 ± 0.06,N/A,N/A,0.15 ± 0.09,0.01 ± 0.05,N/A,0.00 ± 0.00,N/A,0.52 ± 0.30,0.02 ± 0.09,N/A,0.73 ± 0.20,0.47 ± 0.30,N/A,0.03 ± 0.10,0.44 ± 0.35,N/A
Runtime,0.70 ± 0.34,0.65 ± 0.30,0.50 ± 0.09,0.55 ± 0.15,0.55 ± 0.15,0.03 ± 0.02,0.00 ± 0.00,0.64 ± 0.30,0.64 ± 0.27,0.02 ± 0.01,0.69 ± 0.34,0.66 ± 0.29,0.05 ± 0.01,12.72 ± 4.38,0.64 ± 0.27,0.01 ± 0.01,0.71 ± 0.20,0.00 ± 0.00,10.50 ± 3.43,0.67 ± 0.29,0.00 ± 0.00,44.28 ± 74.20,0.00 ± 0.00,11.15 ± 4.10,0.01 ± 0.01,0.71 ± 0.21
%Explained,1.00,1.00,1.00,1.00,1.00,1.00,0.02,1.00,1.00,0.97,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.13,0.99,1.00,0.05,0.89,0.02,1.00,0.81,1.00
#Valid,1.00 ± 0.00,1.00 ± 0.00,9.97 ± 0.17,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,0.02 ± 0.14,1.00 ± 0.00,1.00 ± 0.00,14.42 ± 6.68,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,194.87 ± 303.93,1.00 ± 0.00,10.00 ± 0.00,1.00 ± 0.00,0.31 ± 0.90,142.54 ± 190.81,1.00 ± 0.00,0.11 ± 0.51,4.75 ± 3.07,0.02 ± 0.14,97.39 ± 100.73,4.80 ± 4.89,1.00 ± 0.00
