,GradCF (eps=0.25) (sparsity fixed),GradCF (eps=0) (sparsity fixed),dice_mod_random,GradCF (eps=1),GradCF (eps=1) (sparsity fixed),CFAE,TGCF_IMM',GradCF (eps=0),GradCF (eps=0.5),TGCF_DTC_Fidelity',GradCF (eps=0.25),GradCF (eps=0.1),NeighborSearch,Baycon - Model Agnostic,GradCF (eps=0.5) (sparsity fixed),CFDE,GradCF (eps=0.75) (sparsity fixed),TGCF_DTC',Baycon - KMeans,GradCF (eps=0.1) (sparsity fixed),TGCF_DTC,Baseline (DiCE),TGCF_IMM,Baseline (BayCon),TGCF_DTC_Fidelity,GradCF (eps=0.75)
Dissimilarity,1.60 ± 0.45,1.38 ± 0.43,1.40 ± 0.44,2.21 ± 0.45,2.17 ± 0.49,1.17 ± 0.38,1.79 ± 0.45,1.40 ± 0.44,1.87 ± 0.45,1.94 ± 0.49,1.63 ± 0.44,1.50 ± 0.44,1.63 ± 0.46,1.80 ± 0.59,1.80 ± 0.50,1.61 ± 0.49,2.03 ± 0.51,1.78 ± 0.50,1.85 ± 0.56,1.47 ± 0.43,1.54 ± 0.43,2.26 ± 0.64,1.01 ± 0.21,1.89 ± 0.52,1.69 ± 0.47,2.09 ± 0.46
Sparsity,0.27 ± 0.25,0.23 ± 0.25,0.00 ± 0.00,0.00 ± 0.00,0.18 ± 0.24,0.13 ± 0.22,0.39 ± 0.21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.30 ± 0.24,0.50 ± 0.00,0.31 ± 0.24,0.43 ± 0.17,0.26 ± 0.25,0.00 ± 0.00,0.50 ± 0.00,0.23 ± 0.25,0.00 ± 0.00,0.20 ± 0.25,0.50 ± 0.00,0.50 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
Plausibility,-1.49 ± 0.44,-1.82 ± 0.50,-1.58 ± 0.14,-0.95 ± 0.03,-1.09 ± 0.27,-2.12 ± 0.46,-1.68 ± 0.73,-1.59 ± 0.14,-1.04 ± 0.03,-1.18 ± 0.46,-1.22 ± 0.06,-1.42 ± 0.09,-1.65 ± 0.67,-1.28 ± 0.21,-1.42 ± 0.50,-1.91 ± 0.77,-1.21 ± 0.36,-1.43 ± 0.59,-1.24 ± 0.18,-1.65 ± 0.46,-1.75 ± 0.52,-1.84 ± 0.79,-2.05 ± 0.44,-1.24 ± 0.17,-1.66 ± 0.39,-0.96 ± 0.03
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.88 ± 0.32,1.00 ± 0.00,1.00 ± 0.00,0.97 ± 0.17,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.22 ± 0.41,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.60 ± 0.49,0.81 ± 0.39,1.00 ± 0.00,0.40 ± 0.49,0.88 ± 0.33,0.16 ± 0.37,0.86 ± 0.35,0.81 ± 0.39,1.00 ± 0.00
Diversity,N/A,N/A,0.00 ± 0.00,N/A,N/A,0.00 ± 0.00,N/A,N/A,N/A,0.53 ± 0.17,N/A,N/A,0.00 ± 0.00,0.00 ± 0.00,N/A,0.00 ± 0.00,N/A,0.77 ± 0.05,0.00 ± 0.01,N/A,0.56 ± 0.00,0.02 ± 0.08,N/A,0.00 ± 0.00,0.58 ± 0.20,N/A
Runtime,0.71 ± 0.19,0.78 ± 0.32,0.36 ± 0.04,0.43 ± 0.16,0.44 ± 0.16,0.01 ± 0.00,0.00 ± 0.00,0.78 ± 0.32,0.66 ± 0.16,0.00 ± 0.00,0.71 ± 0.19,0.72 ± 0.18,0.02 ± 0.01,3.46 ± 1.27,0.66 ± 0.16,0.04 ± 0.02,0.79 ± 0.15,0.00 ± 0.00,3.80 ± 0.89,0.72 ± 0.18,0.00 ± 0.00,22.91 ± 43.37,0.00 ± 0.00,5.69 ± 1.92,0.00 ± 0.00,0.79 ± 0.15
%Explained,1.00,1.00,1.00,1.00,1.00,1.00,0.88,1.00,1.00,1.00,1.00,1.00,1.00,0.41,1.00,1.00,1.00,0.77,0.36,1.00,0.52,1.00,0.16,0.34,1.00,1.00
#Valid,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,0.88 ± 0.32,1.00 ± 0.00,1.00 ± 0.00,1.62 ± 0.49,1.00 ± 0.00,1.00 ± 0.00,10.00 ± 0.00,11.74 ± 16.96,1.00 ± 0.00,10.00 ± 0.00,1.00 ± 0.00,0.79 ± 0.45,10.88 ± 16.86,1.00 ± 0.00,0.53 ± 0.52,8.78 ± 1.71,0.16 ± 0.37,10.97 ± 17.39,1.36 ± 0.48,1.00 ± 0.00
